TOKEN MOMENTUM STABILITY ALIGNMENT VOLATILITY PRESSURE SHIFT

BTC high high high low up strengthening
ETH high high high low neutral strengthening
SOL moderate low low high down weakening
ADA low low low high down weakening
DEEP moderate high moderate moderate neutral stable
FIL moderate moderate moderate moderate neutral stable
HBAR moderate moderate moderate moderate neutral stable
HOT low low low high down weakening
NEAR moderate high moderate moderate neutral stable
PEPE low low low high down weakening
POL moderate moderate moderate moderate neutral stable
QNT high high high low up strengthening
SUI low low low high down weakening
VET low low low high down weakening
WAL moderate moderate moderate moderate neutral stable
XLM moderate high high moderate neutral strengthening
AAVE high high high low up strengthening
CC low low low high down weakening
CRV moderate moderate moderate moderate neutral stable
FLOKI low low low high down weakening
HYPE low low low high down weakening
LDO moderate high moderate moderate neutral stable
LTC moderate high high moderate neutral stable
ONDO low low low high down weakening
RLC low low low high down weakening
WLD moderate moderate moderate moderate neutral stable
XRP high high high low up strengthening
ALGO low low low high down weakening
DOT moderate moderate moderate moderate neutral stable
FET moderate moderate moderate moderate neutral stable
HNT low low low high down weakening
ICP low low low high down weakening
INJ high high high low up strengthening
IOST low low low high down weakening
MOG low low low high down weakening
NOT low low low high down weakening
RED moderate moderate moderate moderate neutral stable
RENDER moderate high moderate moderate neutral stable
XPL low low low high down weakening
TAO high high high low up strengthening
