TOKEN MOMENTUM STABILITY ALIGNMENT VOLATILITY PRESSURE SHIFT
BTC high high high moderate neutral stable
ETH moderate high high low up strengthening
SOL low moderate low high down weakening
ADA moderate low moderate moderate down weakening
DEEP high moderate high low up strengthening
FIL low low low high neutral weakening
HBAR moderate moderate moderate moderate neutral stable
HOT low low low high down weakening
NEAR moderate moderate low moderate neutral stable
PEPE high low low high up neutral
POL moderate high moderate moderate neutral stable
QNT high high high low up strengthening
SUI low moderate low high neutral weakening
VET low low low moderate neutral weakening
WAL moderate moderate moderate moderate neutral stable
XLM moderate moderate moderate moderate neutral stable
AAVE high high high low up strengthening
CC low low low high neutral weakening
CRV moderate low moderate moderate down weakening
FLOKI high low low high up stable
HYPE high moderate low high up stable
LDO moderate high moderate low up strengthening
LTC moderate high high low neutral stable
ONDO low moderate low high down weakening
RLC low low low high neutral weakening
WLD high moderate high low up strengthening
XRP moderate high high moderate neutral stable
ALGO low moderate low high down weakening
DOT moderate moderate moderate moderate neutral stable
FET high moderate high moderate up strengthening
HNT low low low high neutral weakening
ICP moderate low moderate high down weakening
INJ high moderate high moderate up strengthening
IOST low low low high neutral weakening
MOG moderate moderate moderate moderate neutral stable
NOT low low low high neutral weakening
RED high low moderate high up stable
RENDER moderate high high low up strengthening
XPL low low low high neutral weakening
TAO high high high low up strengthening
