A+ HARMONIC PHASE OVERLAY REQUEST — TABLE 2

prediction_ts_utc = 2026-05-14T12:56:00Z

TOKEN | HARMONIC_PHASE | PHASE_STATE | OFFSET_BAND | DRIFT_DIRECTION | QUALITY | EXTENSION_RISK | NOTES

BTC | confirmed_0618 | confirmed | +5 | converging | clean | low | "Stabilizing pillar, resonance anchor"
ETH | forming_0786 | forming | 0 | forward_drift | mixed | moderate | "Fluid architect, seeks harmonic structure"
SOL | forming_0618 | early | +3 | unstable | mixed | high | "Rising sun, volatile ascent"
ADA | confirmed_1000 | late | -3 | backward_drift | clean | low | "Resilient memory, echoing past cycles"
DEEP | pre_0618 | forming | unknown | converging | unknown | high | "Submerged potential, awaiting ignition"
FIL | forming_0786 | forming | +7 | forward_drift | mixed | moderate | "Data vessel, expanding boundaries"
HBAR | confirmed_0618 | confirmed | 0 | flat | clean | low | "Temporal weaver, harmonic stabilizer"
HOT | late_extension | late | -5 | unstable | dirty | high | "Flickering flame, nearing exhaustion"
NEAR | forming_1000 | forming | +9 | forward_drift | mixed | moderate | "Proximity signal, nearing coherence"
PEPE | extension_1272 | exhausted | +10.5 | unstable | dirty | high | "Inflated jest, post-peak"
POL | confirmed_0618 | confirmed | +3 | converging | clean | low | "Governance core, harmonic integrity"
QNT | forming_1000 | forming | -9 | forward_drift | mixed | moderate | "Quantum bridge, seeking alignment"
SUI | forming_0618 | forming | unknown | forward_drift | clean | moderate | "Emerging force, aligning softly"
VET | confirmed_1000 | late | -7 | backward_drift | dirty | moderate | "Veteran structure, fatigued but strong"
WAL | reset | early | 0 | flat | unknown | moderate | "Guarded gate, cycle restarting"
XLM | confirmed_0618 | confirmed | +5 | converging | clean | low | "Luminous thread, consistent beacon"
AAVE | forming_0618 | forming | -3 | forward_drift | mixed | moderate | "Collateral architect, building trust"
CC | forming_0786 | forming | unknown | converging | clean | moderate | "Encoded message, harmonic pulse"
CRV | extension_1272 | late | +7 | unstable | dirty | high | "Curved reflection, overstretched"
FLOKI | late_extension | exhausted | +10.5 | backward_drift | dirty | high | "Mythic echo, waning momentum"
HYPE | forming_1000 | forming | 0 | forward_drift | mixed | high | "Attention magnet, volatile vector"
LDO | confirmed_1000 | late | +3 | converging | clean | low | "Liquid directive, phase stable"
LTC | confirmed_0618 | confirmed | -5 | flat | clean | low | "Silver resonance, consistent legacy"
ONDO | forming_0618 | forming | unknown | forward_drift | mixed | moderate | "Oscillating gate, sound in motion"
RLC | confirmed_0618 | confirmed | +3 | converging | clean | low | "Compute node, coherent contract"
WLD | forming_0786 | forming | +9 | forward_drift | mixed | high | "Wild field, uncontained expansion"
XRP | confirmed_1000 | confirmed | +5 | flat | clean | low | "Ripple effect, spanning timelines"
ALGO | forming_0618 | forming | 0 | forward_drift | mixed | moderate | "Logical dance, seeking rhythm"
DOT | confirmed_0618 | confirmed | +3 | converging | clean | low | "Web weaver, central connector"
FET | forming_1000 | forming | unknown | forward_drift | mixed | moderate | "AI sentinel, aligning with flow"
HNT | forming_0618 | forming | -7 | backward_drift | dirty | moderate | "Signal carrier, losing altitude"
ICP | forming_1000 | early | +5 | forward_drift | mixed | high | "Infinite recursion, seeking form"
INJ | confirmed_0618 | confirmed | 0 | converging | clean | low | "Injection point, precise and potent"
IOST | late_extension | exhausted | +7 | unstable | dirty | high | "Short pulse, fading fast"
MOG | forming_0786 | forming | +9 | forward_drift | mixed | high | "Massive orbit, gaining traction"
NOT | reset | early | unknown | flat | unknown | moderate | "Undefined node, potential unmeasured"
RED | confirmed_1000 | confirmed | -3 | flat | clean | low | "Vital force, stabilized cycle"
RENDER | forming_1000 | forming | +3 | forward_drift | mixed | high | "Creative engine, nearing manifestation"
XPL | pre_0618 | early | unknown | backward_drift | unknown | high | "Exploratory wave, pre-harmonic"
TAO | confirmed_0618 | confirmed | 0 | converging | clean | low | "Unified path, harmonic essence"
