TOKEN MOMENTUM STABILITY ALIGNMENT VOLATILITY PRESSURE SHIFT

BTC low high high low neutral stable
ETH moderate high high low up strengthening
SOL high moderate moderate high up strengthening
ADA low low moderate moderate neutral weakening
DEEP high high high moderate up strengthening
FIL moderate low low high down weakening
HBAR low moderate moderate low neutral stable
HOT low low low high down weakening
NEAR moderate moderate moderate high down weakening
PEPE high low low high neutral weakening
POL moderate moderate high moderate up strengthening
QNT high high high low up strengthening
SUI moderate low low high neutral weakening
VET low moderate moderate low neutral stable
WAL low low low moderate neutral weakening
XLM moderate high moderate low up stable
AAVE high moderate high high up strengthening
CC moderate low low high neutral weakening
CRV low moderate low high down weakening
FLOKI high low moderate high neutral weakening
HYPE high low low high neutral weakening
LDO moderate high moderate moderate up strengthening
LTC low high high low neutral stable
ONDO high low low high up strengthening
RLC moderate moderate high low up strengthening
WLD low low moderate high neutral weakening
XRP moderate high high low up strengthening
ALGO low low low moderate down weakening
DOT moderate moderate moderate moderate neutral stable
FET high high high moderate up strengthening
HNT low low low moderate neutral weakening
ICP moderate moderate low high down weakening
INJ high high high low up strengthening
IOST low low low high down weakening
MOG moderate low low high neutral weakening
NOT high high high low up strengthening
RED moderate moderate moderate moderate neutral stable
RENDER high high high low up strengthening
XPL low moderate low high neutral weakening
TAO high high high low up strengthening
